,id,name,location,description,slug,sponsored,website,global_rank,financials,student_loan_available,campus_student_life,number_of_students,student_to_faculty_ratio,international_student_ratio,housing_availability,admissions_contact,admissions_phone,contact_person,admissions_page_link,immigration_support,university_campuses
11,332,Dong Thap University,,Dong Thap University is a Vietnamese public university based in the city of Cao Lãnh in Đồng Tháp province . It is one of the educational and research institutions in the Mekong Delta region of Vietnam.,dong-thap-university,,http://www.dthu.edu.vn,,,,,8000,,,,,,,,,
12,322,Duy Tan University,,"Duy Tân University is a private research university in Da Nang , Vietnam . [ 1 ] The name derives from the Modernisation Movement, or phong trào Duy Tân , of 1906–1908. [ 2 ] In 2019, the school was awarded the ""First Class Labor Medal"" . [ 3 ]",duy-tan-university,,http://www.duytan.edu.vn,,,,,20000,,,,,,,,,
13,345,Electric Power University,,"Electric Power University in Vietnamese Trường Đại học Điện Lực is a public university in Hanoi , Vietnam .",electric-power-university,,http://www.epu.edu.vn,,,,,,,,,,,,,,
14,357,FPT University,,"FPT University is a private university in Vietnam . FPT University is a member of FPT Group and has campuses in Hanoi , Ho Chi Minh City , Da Nang , Can Tho and Quy Nhon .",fpt-university,,https://daihoc.fpt.edu.vn,,,,,,,,,,,,,,
15,325,Foreign Trade University,,"Foreign Trade University is a public university established in 1960, located in Hanoi , Vietnam, with satellite campuses in Ho Chi Minh City and Quảng Ninh .",foreign-trade-university,,http://www.ftu.edu.vn,,,,,14000,,,,,,,,,
16,377,Fulbright University Vietnam,,"Fulbright University Vietnam is a private, nonprofit liberal arts university in Ho Chi Minh City , Vietnam . It is one of Vietnam's first private, nonprofit institutions of higher education, [ 2 ] offering undergraduate and graduate programs rooted in the American liberal arts tradition. Since 2014, the university's development has been coordinated by the Trust for University Innovation in Vietnam , a nonprofit corporation based in Boston , Massachusetts . The FUV and TUIV are recipients of several grants from the Bureau of Educational and Cultural Affairs of the United States Department of State .",fulbright-university-vietnam,,https://fulbright.edu.vn,,,,,832,,,,,,,,,
17,352,Haiphong University,,"Haiphong University is a public university established on 22 July 1959 in Haiphong . In 2000, this university was merged with some other higher institutions in Haiphong to become Haiphong University of Education. On 9 April 2004, the Prime Minister of Vietnam signed edict 60/2004/QĐ-TTg, to rename this university Haiphong University. [ 1 ]",haiphong-university,,https://dhhp.edu.vn,,,,,,,,,,,,,,
18,347,Hanoi Architectural University,,"Hanoi Architectural University is the flagship university in architecture, planning, and civil engineering education and research in Vietnam . It was established in 1969 under the administration of Vietnam Ministry of Architecture . The school's predecessor was the Architecture Faculty of Hanoi University of Construction . Hanoi Architectural University is considered one of the best and largest universities in architecture, urban planning, and civil engineering in Vietnam. The school offers five-year bachelor's degrees , two-year master's degrees, and PhD degrees.",hanoi-architectural-university,,http://hau.edu.vn,,,,,6000,,,,,,,,,
19,336,Hanoi Medical University,,"Hanoi Medical University is the oldest university of Vietnam and is located in Hanoi . HMU was founded in 1902 by French during the French protectorate under the name Indochina Medical College . The first headmaster of HMU was Alexandre Yersin who was the co-discoverer of the bacillus responsible for the bubonic plague or pest, which was renamed in his honor .",hanoi-medical-university,,http://hmu.edu.vn,,,,,,,,,,,,,,
20,326,Hanoi National University of Education,,"Hanoi National University of Education is a public university in Vietnam. Established in 1951 as the fourth university in Vietnam , it is one of the largest higher education institutions in this country. The university also operates HNUE High school for gifted students , a national high school for gifted students.",hanoi-national-university-of-education,,http://english.hnue.edu.vn,,,,,3000,,,,,,,,,
21,323,Hanoi University,,"Hanoi University , established in 1959 in Hanoi , is an institution for foreign language training and research.",hanoi-university,,http://www.hanu.edu.vn,,,,,9000,,,,,,,,,
22,338,Hanoi University Of Public Health,,"Hanoi University of Public Health is a university in Vietnam specializing in Public Health Training and Research. It was established in 2001. The university is located at Thang Road, Dong Ngac Ward, Hanoi. [ 1 ]",hanoi-university-of-public-health,,,,,,,,,,,,,,,,
23,344,Hanoi University of Industry,,"Hanoi University of Industry , also known by the abbreviation HaUI , is a public technical university in Hanoi , Vietnam . Founded 1898, the university was one of the first technical schools to be established in the country and has since become a comprehensive research university. [ 1 ]",hanoi-university-of-industry,,http://www.haui.edu.vn,,,,,60000,,,,,,,,,
24,324,Hanoi University of Mining and Geology,,"Hanoi University of Mining and Geology is a university in Hanoi , the capital of Vietnam . It trains future technical experts in the exploration and exploitation of natural resources, and in the protection of mining and geological environments. The university also serves as a center for research and technology transfer in geology, petroleum, surveying, and mining. Additional programs are offered in theoretical sciences, information technology, and business administration.",hanoi-university-of-mining-and-geology,,https://ctsv.humg.edu.vn/en,,,,,,,,,,,,,,
25,337,Hanoi University of Pharmacy,,"Hanoi University of Pharmacy , formerly Indochina Medicine School , [ 1 ] [ 2 ] [ 3 ] [ 4 ] [ 5 ] located in Hanoi, Vietnam , [ 6 ] [ 4 ] was established by decree of the French government signed by Indochina General Governor Paul Doumer on 8 January 1902. The school was responsible for training doctors, Indochina pharmacists and research in tropical diseases .",hanoi-university-of-pharmacy,,https://www.hup.edu.vn,,,,,,,,,,,,,,
26,319,Hanoi University of Science and Technology,,"The Hanoi University of Science and Technology is the first and largest technical university in Vietnam . [ 1 ] [ 2 ] [ 3 ] [ 4 ] [ 5 ] In May 2010 its name in English was changed to Hanoi University of Science and Technology , this was made with the goal to promote research and training alongside the university's purpose besides technology transfer. The name in Vietnamese and French remain the same — Đại học Bách khoa Hà Nội and Institut Polytechnique de Hanoi respectively. [ 6 ] HUST is a multidisciplinary technical university . [ 7 ]",hanoi-university-of-science-and-technology,,http://www.hust.edu.vn,,,,,38015,,,,,,,,,
27,314,Ho Chi Minh City International University,,"Ho Chi Minh City International University , or VNU-HCM International University , is the first and the only public research university in Vietnam that offers programs taught entirely in English. Established in 2003, it is now becoming as one of the leading research powerhouses in Vietnam. The university is affiliated to the Vietnam National University, Ho Chi Minh City .",ho-chi-minh-city-international-university,,http://www.hcmiu.edu.vn,,,,,9478,,,,,,,,,
28,339,Ho Chi Minh City Medicine and Pharmacy University,,"The Ho Chi Minh City University of Medicine and Pharmacy is a public medical university located in Ho Chi Minh City, Vietnam. [ 2 ]",ho-chi-minh-city-medicine-and-pharmacy-university,,http://ump.edu.vn,,,,,,,,,,,,,,
29,328,Ho Chi Minh City University of Agriculture and Forestry,,"Ho Chi Minh City University of Agriculture and Forestry , commonly known as Nong Lam University , is a comprehensive university in Linh Xuân ward, Ho Chi Minh City , Vietnam . The university offers 46 majors, such as: Agronomy, Agricultural Engineering, Forestry, Animal Sciences Fisheries, Food Technology, Environmental Science, Foreign Languages, Biological Technology, Economics, and IT, providing both graduate and postgraduate programs.",ho-chi-minh-city-university-of-agriculture-and-forestry,,https://www.hcmuaf.edu.vn,,,,,,,,,,,,,,
30,360,Ho Chi Minh City University of Economics and Finance,,"The Ho Chi Minh City University of Economics and Finance is a Vietnamese private university based in Ho Chi Minh City , Vietnam . The headquarter and its branch are both located nearby on Điện Biên Phủ Boulevard, Gia Định ward.",ho-chi-minh-city-university-of-economics-and-finance,,http://www.uef.edu.vn,,,,,,,,,,,,,,
31,341,Ho Chi Minh City University of Fine Arts,,"Ho Chi Minh City University of Fine Arts is a university in Bình Thạnh District , Ho Chi Minh City, Vietnam. The predecessor of this school was the École des Dessins, founded by André Joyeux in 1913, which became the École des Arts appliqués de Gia Đinh from 1940 to 1971. [ 1 ]",ho-chi-minh-city-university-of-fine-arts,,http://hcmufa.edu.vn,,,,,,,,,,,,,,
32,361,Ho Chi Minh City University of Foreign Languages and Information Technology,,"Ho Chi Minh City University of Foreign Languages - Information Technology is a university located at 828 Su Van Hanh, District 10 , Ho Chi Minh City , Vietnam . [ 1 ] Date of foundation: October 26, 1992, according to Decision No. 616/Ttg by the Prime Minister of the Socialist Republic of Vietnam. HUFLIT is the first private university in Ho Chi Minh City and South Vietnam on the basis of former Saigon Foreign Languages and Information Technology School which was established in 1992.",ho-chi-minh-city-university-of-foreign-languages-and-information-technology,,http://www.huflit.edu.vn,,,,,,,,,,,,,,
33,316,Ho Chi Minh City University of Information Technology,,"The University of Information Technology , or VNU-HCM University of Information Technology , is a public university located in Ho Chi Minh City , Vietnam , a member of Vietnam National University, Ho Chi Minh City . Although its name is about information technology, this university teaches many computer studies. The first course was inaugurated on 6 November 2006.",ho-chi-minh-city-university-of-information-technology,,http://www.uit.edu.vn,,,,,,,,,info@uit.edu.vn,0283725200202837252148,,,,
34,327,Ho Chi Minh City University of Law,,Ho Chi Minh City University of Law is a university in Vietnam that offers undergraduate and postgraduate education in law and politics.,ho-chi-minh-city-university-of-law,,https://www.hcmulaw.edu.vn,,,,,,,,,,,,,,
35,312,Ho Chi Minh City University of Science,,"University of Science, Viet Nam National University Ho Chi Minh City , or VNU-HCM University of Science , offers scientific degrees in Ho Chi Minh City , Vietnam . It was established in 1941 as the Indochina College of Science . [ 1 ]",ho-chi-minh-city-university-of-science,,https://www.hcmus.edu.vn,,,,,,,,,,,,,,
36,313,Ho Chi Minh City University of Social Sciences and Humanities,,"The Ho Chi Minh City University of Social Sciences and Humanities , or VNU-HCM University of Social Sciences and Humanities , is one of the members of Vietnam National University, Ho Chi Minh City system .",ho-chi-minh-city-university-of-social-sciences-and-humanities,,http://www.hcmussh.edu.vn,,,,,,,,,,,,,,
37,310,Ho Chi Minh City University of Technology,,"The Ho Chi Minh City University of Technology [ 1 ] is a research university in Ho Chi Minh City, Vietnam. HCMUT is a member of Vietnam National University, Ho Chi Minh City . It focuses on high technology and engineering. It is one of the officially key universities in Vietnam .",ho-chi-minh-city-university-of-technology,,https://hcmut.edu.vn/en,,,,,26408,,,,,,,,,
38,329,Ho Chi Minh City University of Technology and Education,,"Ho Chi Minh City University of Technology and Engineering , formerly Ho Chi Minh City University of Technology and Education is a public university in Ho Chi Minh City , Vietnam . It is currently regarded as one of the top technical universities in Vietnam. [ 1 ]",ho-chi-minh-city-university-of-technology-and-education,,https://en.hcmute.edu.vn,,,,,30000,,,,,,,,,
39,358,Hoa Sen University,,"Hoa Sen University [ 1 ] is a private university in Ho Chi Minh City , Vietnam. The predecessor of this university was Hoa Sen College.",hoa-sen-university,,https://www.hoasen.edu.vn,,,,,,,,,,,,,,
40,359,Hong Bang International University,,Hong Bang International University is a private university in Ho Chi Minh City .,hong-bang-international-university,,http://www.hiu.vn,,,,,,,,,,,,,,
41,354,Hung Vuong University,,"Hung Vuong University is a public university in Phú Thọ Province , Vietnam . [ 1 ] Established in 2003 as the first university in Phú Thọ Province , [ 2 ] it is now highly renowned university in Vietnam.",hung-vuong-university,,http://hvu.edu.vn,,,,,,,,,,,,,,
42,343,Industrial University of Ho Chi Minh City,,"The Industrial University of Ho Chi Minh City , formerly known as Ho Chi Minh University of Industry [ 1 ] , is a university in Go Vap District , Ho Chi Minh City , Vietnam . It is one of technical universities in the city. The university has 2,000 employees, including about 1,600 teachers and 200 guest trainers who are invited from universities, scientific institutes, and industry. University of Industry School, Ho Chi Minh City is working under the management of the Ministry of Industry and Trade . The total number of students in the university in 2011 was approximately 129,000.",industrial-university-of-ho-chi-minh-city,,http://www.iuh.edu.vn/en,,,,,,,,,,,,,,
43,366,Lac Hong University,,"Lạc Hồng University is a university in Đồng Nai Province . [ 1 ] [ 2 ] [ 3 ] Established in 1997, it marks the first university of the province.",lac-hong-university,,http://en.lhu.edu.vn,,,,,,,,,,,,,,
44,375,Manchester Metropolitan University,,"Manchester Metropolitan University is a public university in Manchester , England. The university's predecessor, Manchester Polytechnic, gained university status in 1992. The university has 44,000 students and over 5,100 members of staff. [ 6 ] It hosts four faculties . [ 7 ] It is the fifth-largest university in the United Kingdom by total enrolment. [ 8 ]",manchester-metropolitan-university,,https://mmu.ac.uk,,,,,39095,,,,,,,,,
45,320,National Economics University,,"National Economics University is a public research university in Hanoi , Vietnam . Founded in 1956, its history and influence have made it the leading universities in Economics , Public Administration and Business Administration in Vietnam. [ 1 ] NEU is now chairing a network of more than 40 universities in Vietnam in economics and business administration . It is also a prestigious research and consultation center with its publications and consulting works to the government of Vietnam on policy making and to the business community on business development. [ 2 ] Since its establishment, NEU has paid special attention to developing international academic cooperation. It has formed partnership relationship with over 100 institutions and organizations from 30 countries, including Australia , Belgium , Cambodia , Canada , China , France , Germany , Japan , Laos , Netherlands , South Korea , Taiwan , United Kingdom , Italy and United States . The university has been involved in research projects in cooperation with large governmental organizations and international financial institutions such as the Japanese International Cooperation Agency , the Foundation of Vietnam Development Forum , the National Graduate Institute for Policy Studies , the World Bank , the Asian Development Bank , the Department for International Development , and Ausaid . [ 3 ] Notable alumni include Nguyễn Xuân Phúc , 10th President and former Prime Minister of Vietnam [ 4 ] ; Dương Công Minh, Chairman of Sacombank and Trần Đình Long , Chairman of Hòa Phát Group. [ 5 ]",national-economics-university,,https://en.neu.edu.vn,,,,,45000,,,,,,,,,
46,333,Nha Trang University,,"Nha Trang University is a university in Nha Trang , Khánh Hòa Province , in Vietnam 's South Central Coast . It is a multidisciplinary university offering 36 programs for bachelor degrees, 16 programs for master's degrees, and 6 programs for doctoral degrees. [ 2 ]",nha-trang-university,,http://www.ntu.edu.vn,,,,,17281,,,,,,,,,
47,351,Pham Ngoc Thach University of Medicine,,"Pham Ngoc Thach University of Medicine is a public medical school in Ho Chi Minh City, Vietnam. It offers graduate and postgraduate education in medicine, health care staff training for the city.",pham-ngoc-thach-university-of-medicine,,http://pnt.edu.vn,,,,,,,,,,,,,,
48,355,Quảng Bình University,,"Quảng Bình University is a university established in 2006 after merging colleges with the Normal College in Đồng Hới city, the capital of Quảng Bình Province .",quang-binh-university,,http://qbu.edu.vn,,,,,,,,,,,,,,
49,368,Royal Melbourne Institute of Technology,,"The Royal Melbourne Institute of Technology is a public research university located in the city of Melbourne in Victoria , Australia. [ 11 ] Proposed by Francis Ormond , [ 12 ] and established in 1887 by Ormond, the Victorian government, Trades Hall Council and others, it is the seventh-oldest institution of higher education in Australia , a founding member of the Australian Technology Network , and a member of Universities Australia .",royal-melbourne-institute-of-technology,,https://www.rmit.edu.au,,,,,91544,,,,,,,,,
50,367,Royal Melbourne Institute of Technology Vietnam,,"The Royal Melbourne Institute of Technology Vietnam is the Vietnamese branch of the Australian university Royal Melbourne Institute of Technology . It has three campuses located in Ho Chi Minh City , Hanoi , and Danang . [ 2 ]",royal-melbourne-institute-of-technology-vietnam,,https://www.rmit.edu.vn,,,,,16000,,,,,,,,,
51,364,Saigon International University,,"Saigon International University is Vietnam 's first international private university located in Ho Chi Minh City . SIU is a member of the Group of Asian International Education, an educational and scientific research group in Vietnam. [ 1 ]",saigon-international-university,,,,,,,,,,,,,,,,
52,365,Saigon Technology University,,"Saigon Technology University is a university in Ho Chi Minh City , Vietnam . It was established from the Ho Chi Minh City Technology College , founded on 24 September 1997 by Decision number 198/QĐ-TTg signed by the prime minister of Vietnam . In March 2005, the prime minister signed Decision 52/2005/QĐ-TTg to rename and recognized the upgrading of this college; the name of the university was officially changed. The university provides undergraduate and graduate education and have cooperative education agreements with Troy University from the United States .",saigon-technology-university,,http://www.stu.edu.vn,,,,,,,,,,,,,,
53,350,Saigon University,,"Saigon University is a public university located in Ho Chi Minh City , Vietnam . It was founded in 1976 as a teacher training college and was upgraded and renamed as Saigon University in 2007. [ 1 ] As of 2026, the university had over 19,600 undergraduate and graduate students enrolled full time. [ 1 ]",saigon-university,,http://www.sgu.edu.vn,,,,,19600,,,,,,,,,
54,342,The University of Theatre and Cinema Ho Chi Minh City,,"The University of Theatre and Cinema Ho Chi Minh City [ 2 ] is a public university in Ho Chi Minh City , Vietnam . Founded in 2009, the university provides further and higher education courses in performing arts and filmmaking . The institution is affiliated with and governed by Vietnam's Ministry of Culture, Sports and Tourism . The university is often seen as a leading film school in Vietnam. [ 3 ]",the-university-of-theatre-and-cinema-ho-chi-minh-city,,https://skdahcm.edu.vn,,,,,,,,,,,,,,
55,356,Tra Vinh University,,"Tra Vinh University is a public university located in the city of Trà Vinh , Vietnam . The university was established in 2001 as Tra Vinh Community College in an international partnership between the Vietnamese and Canadian governments. [ 1 ] The institution became Tra Vinh University in 2006. Today, the university has over 20,000 students enrolled each year and focuses on providing learners with the 21st century skills needed to fulfill the region's specific workforce needs.",tra-vinh-university,,http://en.tvu.edu.vn,,,,,20,,,,,,,,,
56,321,University of Economics Ho Chi Minh City,,"The University of Economics Ho Chi Minh City , known redundantly as the UEH University , is a multidisciplinary university which was established in 1976 in Ho Chi Minh City , Vietnam . It is one of the National Key Universities of Vietnam and is a member of The Best 1,000 Business Schools in the World. [ 3 ] From its inception until now, the school has been a renowned center of scientific research in Vietnam, providing undergraduate and postgraduate education for students from the country and neighboring Laos and Cambodia . CYM Group, a student academic club of the University of Economics Ho Chi Minh City is the first student group in Vietnam to set a Guinness World Record . [ 4 ] [ 5 ] [ 6 ] Graduates of the university since its establishment include:",university-of-economics-ho-chi-minh-city,,https://www.ueh.edu.vn,,,,,30747,,,,,,,,,
57,315,University of Economics and Law,,"The University of Economics and Law , or VNU-HCM University of Economics and Law , is a university in Linh Xuân ward, Thủ Đức , Ho Chi Minh City , Vietnam . It is a member institution of university of Vietnam National University, Ho Chi Minh City . It was previously known as VNU-HCM Faculty of Economics and was upgraded to university on March 24, 2010. To be able to meet the demands of socio-economic development in Vietnam as the industrialization, modernization, and global integration of Vietnam are on the rise, the University of Economics and Law has become a leading higher education institution and a center for scientific research and technology transfer of high quality in the fields of economics, law, and management.",university-of-economics-and-law,,https://www.uel.edu.vn,,,,,500,,,,,02837244555,,,,
58,370,University of London,,"The University of London is a federal [ a ] public research university in London , England, United Kingdom. The university was established by royal charter in 1836 as a degree-awarding examination board for students holding certificates from University College London , King's College London , and ""other such institutions, corporate or unincorporated, as shall be established for the purpose of Education, whether within the Metropolis or elsewhere within our United Kingdom"". [ 11 ] It is one of three institutions to have claimed the title of the third-oldest university in England . [ b ] [ 12 ] [ 13 ] It moved to a federal structure with constituent colleges in 1900. [ 14 ] It is now incorporated by its fourth royal charter and governed by the University of London Act 2018. [ 15 ]",university-of-london,,https://www.london.ac.uk,,,,,205400,,,,,,,,,
59,349,University of Science and Technology of Hanoi,,"The University of Science and Technology of Hanoi , also called Vietnam-France University , is a public university in Hanoi, Vietnam . USTH was founded in 2009 under the Intergovernmental Agreement between Vietnam and France and was signed on 12 November 2009. The official language used in teaching at USTH is English.",university-of-science-and-technology-of-hanoi,,http://www.usth.edu.vn,,,,,,,,,,,,,,
60,371,University of Staffordshire,,"The University of Staffordshire is a public research university in Staffordshire , England . It has its main campus in Stoke-on-Trent and two other campuses in Stafford , and London . [ 6 ] [ 7 ]",university-of-staffordshire,,https://staffs.ac.uk,,,,,17085,,,,,,,,,
61,372,University of Stirling,,"The University of Stirling is a public university in Stirling , Scotland, founded by a royal charter in 1967. It is located in the Central Belt of Scotland , built within the walled Airthrey Castle estate.",university-of-stirling,,https://stir.ac.uk,,,,,11750,,,,,,,,,
62,309,VNU University of Economics and Business,,"VNU University of Economics and Business , or University of Economics and Business , is a member of Vietnam National University, Hanoi. The university was established under Decision 290/QD-TTg of the Prime Minister on 6 March 2007. However, its historical origin dates back to 1974 with the establishment of the Political Economy Department at the Vietnam National University, Hanoi . The college then underwent several transformations before becoming the University of Economics and Business in 2007.",vnu-university-of-economics-and-business,,,,,,,,,,,,,,,,
63,305,VNU University of Engineering and Technology,,"VNU University of Engineering and Technology , or Hanoi University of Engineering and Technology , is a member of Vietnam National University, Hanoi . Established on 25 May 2004 from the Faculty of Technology, it has grown over the years into one of the top universities in Vietnam for Information Technology and Engineering majors. [ 1 ]",vnu-university-of-engineering-and-technology,,http://e.uet.vnu.edu.vn,,,,,3361,,,,uet@vnu.edu.vn,20212022,,,,
64,306,VNU University of Languages and International Studies,,"VNU University of Languages and International Studies , or Hanoi University of Languages and International Studies , is one of the nine colleges that comprise Vietnam National University, Hanoi . The school offers undergraduate and graduate degrees in pedagogy and linguistic studies in Arabic , English , French , German , Japanese , Korean , Mandarin Chinese , Russian , and Southeast Asian . [ 1 ] The college is located at VNU Cau Giay campus. [ 2 ]",vnu-university-of-languages-and-international-studies,,http://www.ulis.vnu.edu.vn,,,,,6158,,,,dhnn@vnu.edu.vn,20262027,,,,
65,307,VNU University of Science,,"VNU University of Science or Hanoi University of Science , is a member of Vietnam National University, Hanoi . Founded in 1906 as Indochina University, the university has changed its name three times: School of Basic Science , University of Hanoi , VNU University of Science . Since the last name change, VNU University of Science is a member of Vietnam National University, Hanoi .",vnu-university-of-science,,https://english.hus.vnu.edu.vn,,,,,8494,,,,hus@vnu.edu.vn,20250531,,,,
66,308,VNU University of Social Sciences and Humanities,,"VNU University of Social Sciences and Humanities , or Hanoi University of Social Sciences and Humanities , is a major research university in Hanoi , Vietnam , and a member university of Vietnam National University, Hanoi . [ 1 ]",vnu-university-of-social-sciences-and-humanities,,http://ussh.vnu.edu.vn,,,,,,,,,contact@ussh.edu.vn,20262027,,,,
67,362,Van Lang University,,"Van Lang University is one of the first private universities in Vietnam under the administration of the Ministry of Education of Vietnam . It is located in Ho Chi Minh City since 1995 and was named for the ancient Vietnamese kingdom, Văn Lang .",van-lang-university,,https://www.vlu.edu.vn/en,,,,,,,,,,,,,,
68,346,Vietnam Maritime University,,"Vietnam Maritime University is a university in Haiphong operated by the Ministry of Transport . The university was established on 1 April 1956 as Haiphong Maritime University . As of 2025 [update] , this is the only maritime university in Vietnam . The university has over 1000 staffs, of which, 450 are faculty staffs. The university provides undergraduate and graduate education of shipbuilding, maritime navigation, nautical technology. It has a second campus in Vung Tau city.",vietnam-maritime-university,,https://eng.vimaru.edu.vn,,,,,,,,,,,,,,
69,348,Vietnam National University of Agriculture,,"Vietnam National University of Agriculture , until 2014 Hanoi University of Agriculture , is an education and research university specializing in the agricultural sector. The university is located in Trau Quy town, Gia Lam district, a Hanoi suburban area, about 12 km far from Hanoi city centre.",vietnam-national-university-of-agriculture,,http://www.vnua.edu.vn/eng,,,,,23000,,,,,,,,,
70,340,Vietnam University of Fine Arts,,"The Vietnam University of Fine Arts is an art school in Hanoi , Vietnam originally established in Tonkin under French colonial rule in 1925. [ 2 ] The university has trained many of Vietnam's leading artists and each year it participates in many cultural exchanges with sister institutions overseas.",vietnam-university-of-fine-arts,,http://mythuatvietnam.edu.vn,,,,,612,,,,,,,,,
71,334,Vietnamese-German University,,"The Vietnamese–German University is a Vietnamese public university , located in Binh Duong , Vietnam. In its administrative and academic structure, VGU follows the German model and standards. VGU was founded officially in March 2008 under the form of a partnership between Vietnam and Germany. In September 2008, VGU had its first intake of students. The university currently offers Bachelor's and Master's programs, covering the fields of engineering , natural sciences , and commerce .",vietnamese-german-university,,http://www.vgu.edu.vn,,,,,,,,,,,,,,
72,335,Vinh University,,"Vinh University is a public university in North Central Vietnam . It is a multidisciplinary institution providing high-quality human resources and serving as a center for scientific research, innovation, and policy consultation for Nghệ An Province and the North Central region. The university is recognized as one of Vietnam's key national universities and is being developed into a multi-member university system. [ 1 ] It operates under the Ministry of Education and Training and is one of eight institutions selected for teacher training and educational management development nationwide. [ 2 ]",vinh-university,,http://vinhuni.edu.vn,,,,,16362,,,,,,,,,
73,363,Văn Hiến University,,"Van Hien University is a university located in Tân Phú ward, Ho Chi Minh City , Vietnam . It is a private university established in 1997. Van Hien University presently has ten faculties: Tourism, Economics and Management, Information Technology, Social Studies and Telecommunication, Technologies and Engineerings, Finance and Accounting , Foreign Languages, Oriental Studies, Arts, and Medical and Pharmacy. [ 1 ] [ 2 ]",van-hien-university,,http://www.vhu.edu.vn,,,,,,,,,,,,,,
