id,name,location,description,slug,sponsored,website,global_rank,financials,student_loan_available,campus_student_life,number_of_students,student_to_faculty_ratio,international_student_ratio,housing_availability,admissions_contact,admissions_phone,contact_person,admissions_page_link,immigration_support,university_campuses
,"Mar Theophilus Training College Thiruvananthapuram, India",356,"Mar Theophilus Training College is a respected CSI-managed teacher training institution affiliated to the University of Kerala, with a proud legacy of excellence since 1957. Located in Thiruvananthapuram, it offers the B.Ed. programme, blending faith-inspired values with modern pedagogical practices to shape compassionate and competent educators.",mar-theophilus-training-college-thiruvananthapuram,0,https://www.mttc.ac.in,,INR 20k-40k ($240-480),0,"The college's serene campus creates the perfect setting for future teachers, featuring a well-stocked library, thoughtfully designed seminar halls, and open sports facilities that encourage a balanced mind and body — rooted in a tradition of service, scholarship, and spiritual growth.",200,15,0,0,,,,https://www.mttc.ac.in,0,1
,"CSI College of Education Parassala, India",356,"CSI College of Education Parassala is a reputed Church of South India institution affiliated to the University of Kerala, dedicated to the noble mission of teacher education. Located in Parassala, Thiruvananthapuram, its B.Ed. programme is built on a foundation of academic quality, inclusive values, and community engagement.",csi-college-of-education-parassala,0,http://www.csicollegeofeducation.net,,INR 20k-40k ($240-480),0,"The college's welcoming campus is equipped with a comprehensive library, a modern computer lab for technology-integrated learning, and a spacious sports ground — nurturing teachers who are not just academically proficient but truly passionate about education.",150,15,0,0,,,,http://www.csicollegeofeducation.net,0,1
,"BNV College of Teacher Education Thiruvananthapuram, India",356,"BNV College of Teacher Education is a dedicated private institution affiliated to the University of Kerala, committed to shaping reflective and innovative teachers for the 21st century. Located in Thiruvananthapuram, its B.Ed. programme provides a rigorous and inspiring foundation for aspiring educators across disciplines.",bnv-college-of-teacher-education-thiruvananthapuram,0,https://bnvcte.org,,INR 20k-40k ($240-480),0,"The college's focused campus environment features a well-curated library, thoughtfully equipped seminar halls, and a modern computer lab — offering student-teachers a supportive, technology-enabled space to develop their professional identity and pedagogical craft.",150,15,0,0,,,,https://bnvcte.org,0,1
,"Christ Nagar College of Education Thiruvananthapuram, India",356,"Christ Nagar College of Education is a distinguished private teacher training institution affiliated to the University of Kerala, driven by the vision of empowering future educators through quality, values, and innovation. Located in Thiruvananthapuram, its B.Ed. programme is celebrated for its student-centric approach and strong academic tradition.",christ-nagar-college-of-education-thiruvananthapuram,0,http://www.christnagarcollege.org,,INR 20k-40k ($240-480),0,"The college's vibrant campus offers a well-stocked library, energising seminar halls designed for collaborative learning, and a refreshing playground — building teachers who are not only knowledgeable but also grounded, confident, and ready to inspire young minds.",150,15,0,0,,,,http://www.christnagarcollege.org,0,1
,"Iqbal Training College Thiruvananthapuram, India",356,"Iqbal Training College is a progressive Muslim minority B.Ed. institution under the Iqbal College Trust, affiliated to the University of Kerala. Established in 2005 in Thiruvananthapuram, it offers the B.Ed. programme with a commitment to inclusive, quality teacher education that bridges academic excellence with community empowerment.",iqbal-training-college-thiruvananthapuram,0,http://www.iqbaltrainingcollege.org/,,INR 20k-40k ($240-480),0,"The college's purposeful campus provides student-teachers with a nourishing library, a well-equipped computer lab for digital pedagogy, and a stimulating seminar hall — cultivating educators who carry both knowledge and a sense of social responsibility into classrooms across Kerala.",100,15,0,0,,,,http://www.iqbaltrainingcollege.org/,0,1
,"METCA Institute of Teacher Education Thiruvananthapuram, India",356,"METCA Institute of Teacher Education is a reputed private B.Ed. institution under the METCA Trust, affiliated to the University of Kerala. Situated in Thiruvananthapuram, it is committed to developing skilled, reflective, and ethically grounded teaching professionals who are ready to excel in Kerala's dynamic educational landscape.",metca-institute-of-teacher-education-thiruvananthapuram,0,https://www.bedmetcamite.in,,INR 20k-40k ($240-480),0,"METCA's campus fosters a culture of inquiry and growth, offering a carefully curated library, contemporary seminar halls for collaborative discourse, and hands-on teaching labs — providing every student-teacher the tools and environment to flourish in their chosen profession.",100,15,0,0,,,,https://www.bedmetcamite.in,0,1
,"Kaviyattu College of Education Thiruvananthapuram, India",356,"Kaviyattu College of Education is a trusted private teacher training institution affiliated to the University of Kerala, passionately dedicated to producing creative, empathetic, and effective educators. Located in Thiruvananthapuram, its B.Ed. programme weaves together pedagogical theory, practice, and personal development.",kaviyattu-college-of-education-thiruvananthapuram,0,https://www.kaviyattucte.com,,INR 20k-40k ($240-480),0,"The college's nurturing campus is designed for learning and growth, featuring a rich library, well-maintained seminar halls for lively academic exchange, and open sports grounds that promote physical wellness — building teachers who lead both inside the classroom and beyond.",100,15,0,0,,,,https://www.kaviyattucte.com,0,1
,"Victory College of Teacher Education Thiruvananthapuram, India",356,"Victory College of Teacher Education is a dynamic private B.Ed. institution affiliated to the University of Kerala, inspiring a new generation of confident, skilled, and value-driven teachers. Located in Thiruvananthapuram, its programme is crafted to equip educators with both the knowledge and the heart to make a real difference.",victory-college-of-teacher-education-thiruvananthapuram,0,http://www.victorybed.in,,INR 20k-40k ($240-480),0,"The college's active campus brings student-teachers together through a well-stocked library, a technology-enabled computer lab, and lively sports grounds — cultivating a community of learners who are prepared to champion excellence and inclusion in every classroom they enter.",100,15,0,0,,,,http://www.victorybed.in,0,1
,"New B.Ed. College Nellimoodu, India",356,"New B.Ed. College Nellimoodu is a promising private teacher education institution affiliated to the University of Kerala, situated in the peaceful town of Nellimoodu, Thiruvananthapuram. Its B.Ed. programme provides a rigorous yet nurturing pathway for aspiring teachers who wish to shape the lives of the next generation.",new-bed-college-nellimoodu,0,http://www.newbedcollege.org,,INR 20k-40k ($240-480),0,"The college's tranquil campus setting offers a well-maintained library, an engaging seminar hall for intellectual growth, and an open playground for physical recreation — creating a balanced and focused environment where tomorrow's educators discover their true potential.",100,15,0,0,,,,http://www.newbedcollege.org,0,1
,"St. Jacob's Training College Thiruvananthapuram, India",356,"St. Jacob's Training College is a respected private B.Ed. institution affiliated to the University of Kerala, committed to the holistic formation of skilled and compassionate educators. Located in Thiruvananthapuram, it blends strong academic preparation with values-centred mentorship that distinguishes its graduates.",st-jacobs-training-college-thiruvananthapuram,0,https://www.stjacobsbed.ac.in/,,INR 20k-40k ($240-480),0,"St. Jacob's campus offers a thoughtfully resourced library, engaging seminar halls that inspire collaborative learning, and a state-of-the-art computer lab — providing student-teachers with a vibrant, supportive space to develop the skills, confidence, and character they need to excel.",100,15,0,0,,,,https://www.stjacobsbed.ac.in/,0,1
,"Central Polytechnic College Thiruvananthapuram, India",356,"Central Polytechnic College Thiruvananthapuram is one of Kerala's premier government polytechnic institutions under the Government of Kerala, renowned for its rigorous diploma engineering programmes that have powered the state's industrial and technical workforce for decades. Located in the heart of Thiruvananthapuram, it is a launchpad for hands-on technical excellence.",central-polytechnic-college-thiruvananthapuram,0,https://cpt.ac.in/,,INR 10k-25k ($120-300),0,"The college's dynamic campus features fully equipped engineering workshops, cutting-edge technical labs, a comprehensive library, expansive sports grounds, and a lively canteen — offering students a holistic environment where technical mastery meets personal growth and lifelong camaraderie.",800,20,0,0,,,,https://cpt.ac.in/,0,1
,"Govt. Polytechnic College Attingal, India",356,"Govt. Polytechnic College Attingal is a trusted government technical institution delivering quality diploma engineering programmes that power Thiruvananthapuram's skilled workforce. Situated in Attingal, it has long been a gateway for students seeking practical, career-ready technical education in a supportive government-backed environment.",govt-polytechnic-college-attingal,0,https://polyattingal.org/,,INR 10k-20k ($120-240),0,"The college's well-appointed campus brings engineering education to life through hands-on workshops, modern technical labs, a resourceful library, and open sports grounds — building not just technical experts, but confident, well-rounded professionals ready for industry.",500,20,0,0,,,,https://polyattingal.org/,0,1
,"Govt. Polytechnic College NTA Thiruvananthapuram, India",356,"Govt. Polytechnic College NTA is a reputable government institution offering rigorous diploma engineering programmes designed to meet the evolving needs of Kerala's technical sector. Located in NTA, Thiruvananthapuram, it has been equipping students with practical skills and professional competence for years.",govt-polytechnic-college-nta-thiruvananthapuram,0,http://www.gptcnta.com,,INR 10k-20k ($120-240),0,"The college's campus is a hub of technical learning, offering state-of-the-art workshops, modern labs, a well-stocked library, and a friendly canteen — making every day a step closer to a confident and fulfilling engineering career.",500,20,0,0,,,,http://www.gptcnta.com,0,1
,"SIMET College of Nursing Muttathara, India",356,"SIMET College of Nursing is a distinguished private nursing institution affiliated to Kerala University of Health Sciences, nurturing compassionate and highly skilled nurses for healthcare systems across India and beyond. Located in the coastal neighbourhood of Muttathara, Thiruvananthapuram, it offers B.Sc. Nursing through a curriculum that fuses clinical excellence with human-centred care.",simet-college-of-nursing-muttathara,0,https://simet.in/,,INR 60k-1L ($720-1200),0,"SIMET's purpose-built campus provides student nurses with advanced clinical simulation labs, a comprehensive medical library, comfortable hostel accommodation, and hands-on hospital training attachments — creating a deeply immersive environment where technical proficiency and genuine compassion are developed side by side.",200,12,0,1,,,,https://simet.in/,0,1
,"Sree Gokulam Nursing College Thiruvananthapuram, India",356,"Sree Gokulam Nursing College is a premier private nursing institution affiliated to the Kerala University of Health Sciences, dedicated to producing graduates who excel in both clinical skill and patient empathy. Located in Thiruvananthapuram, it offers B.Sc. Nursing and GNM programmes backed by a strong reputation for healthcare excellence.",sree-gokulam-nursing-college-thiruvananthapuram,0,https://sgnc.edu.in/,,INR 60k-1L ($720-1200),0,"The college's well-designed campus provides a rich clinical lab environment, an extensive nursing library, welcoming hostel facilities, and seamless hospital attachment for real-world exposure — shaping nurses who are not only technically proficient but genuinely committed to healing and service.",250,12,0,1,,,,https://sgnc.edu.in/,0,1
,"CSI College of Nursing Karakonam, India",356,"CSI College of Nursing Karakonam is a respected Church of South India nursing institution affiliated to the Kerala University of Health Sciences, offering the B.Sc. Nursing programme with a tradition of academic rigour and compassionate care. Located in Karakonam, Thiruvananthapuram, it trains nurses who carry both competence and a spirit of service.",csi-college-of-nursing-karakonam,0,http://www.drsmcsimchk.org,,INR 60k-1L ($720-1200),0,"The college's hospital-integrated campus offers advanced clinical labs, a well-resourced nursing library, comfortable hostel accommodation, and direct access to hospital facilities — immersing students in real-world healthcare from day one and nurturing nurses of outstanding character and skill.",200,12,0,1,,,,http://www.drsmcsimchk.org,0,1
,"Ananthapuri College of Nursing Thiruvananthapuram, India",356,"Ananthapuri College of Nursing is a well-regarded private nursing institution affiliated to the Kerala University of Health Sciences, committed to developing skilled, empathetic, and professionally excellent nursing graduates. Located in Thiruvananthapuram, its B.Sc. Nursing programme is designed to meet the highest standards of modern healthcare education.",ananthapuri-college-of-nursing-thiruvananthapuram,0,http://www.ananthapuricollegeofnursing.com/,,INR 60k-1L ($720-1200),0,"The college's thoughtfully designed campus features advanced clinical simulation labs, a comprehensive nursing library, comfortable hostel facilities, and structured hospital training attachments — providing every aspiring nurse the environment they need to grow into a healthcare professional of distinction.",200,12,0,1,,,,http://www.ananthapuricollegeofnursing.com/,0,1
,"SP Fort College of Nursing Thiruvananthapuram, India",356,"SP Fort College of Nursing is a distinguished nursing institution affiliated to the Kerala University of Health Sciences, located adjacent to the iconic SP Fort Hospital in Thiruvananthapuram. Its B.Sc. Nursing programme benefits uniquely from direct hospital proximity, giving students unmatched clinical exposure from their very first year.",sp-fort-college-of-nursing-thiruvananthapuram,0,http://www.spfortcollegeofnursing.com/,,INR 60k-1L ($720-1200),0,"The college's hospital-integrated campus offers advanced clinical labs, a well-stocked medical library, comfortable hostel accommodation, and structured clinical rotations across diverse departments — creating a learning experience that is as immersive as it is transformative for every future nurse.",200,12,0,1,,,,http://www.spfortcollegeofnursing.com/,0,1
,"Saraswathy College of Nursing Thiruvananthapuram, India",356,"Saraswathy College of Nursing is a dedicated private nursing institution affiliated to the Kerala University of Health Sciences, offering B.Sc. Nursing and GNM programmes that develop nurses of exceptional skill and compassion. Located in Thiruvananthapuram, it has built a reputation for producing healthcare professionals ready to serve at the highest level.",saraswathy-college-of-nursing-thiruvananthapuram,0,http://www.saraswathycollegeofnursing.com/,,INR 60k-1L ($720-1200),0,"The college's well-equipped campus features modern clinical training labs, a rich nursing library, and comfortable hostel accommodation — offering students a focused, supportive environment where professional excellence and a genuine passion for care are cultivated in equal measure.",200,12,0,1,,,,http://www.saraswathycollegeofnursing.com/,0,1
,"KIMS College of Nursing Thiruvananthapuram, India",356,"KIMS College of Nursing is a prestigious nursing institution under the renowned KIMS Health group, affiliated to the Kerala University of Health Sciences. Located in Thiruvananthapuram, it offers the B.Sc. Nursing programme within one of South India's leading multi-specialty hospital ecosystems — giving students an extraordinary edge in clinical training and career readiness.",kims-college-of-nursing-thiruvananthapuram,0,https://kimscon.com/,,INR 80k-1.2L ($960-1440),0,"KIMS Nursing's hospital-integrated campus is equipped with a cutting-edge simulation centre, advanced clinical labs, a comprehensive medical library, and excellent hostel accommodation — placing students at the heart of a world-class healthcare environment where every day is a masterclass in patient care.",300,10,0,1,,,,https://kimscon.com/,0,1
,"PRS College of Nursing Thiruvananthapuram, India",356,"PRS College of Nursing is a dedicated private nursing institution affiliated to the Kerala University of Health Sciences, committed to producing nurses of outstanding clinical skill and genuine compassion. Located in Thiruvananthapuram, its B.Sc. Nursing programme provides a thorough and practice-oriented pathway into the healthcare profession.",prs-college-of-nursing-thiruvananthapuram,0,http://www.prsnursingcollege.in/,,INR 60k-1L ($720-1200),0,"The college's focused campus offers modern clinical labs, a well-resourced nursing library, comfortable hostel facilities, and strong hospital attachment for hands-on training — building graduates who are fully prepared to deliver excellence in any healthcare setting they enter.",200,12,0,1,,,,http://www.prsnursingcollege.in/,0,1
,"Heera College of Engineering Thiruvananthapuram, India",356,"Heera College of Engineering is a dynamic self-financing engineering institution affiliated to APJ Abdul Kalam Technological University, committed to producing industry-ready engineers of the highest calibre. Located in Thiruvananthapuram, it offers B.Tech programmes across key disciplines, blending rigorous academics with practical, hands-on technical training.",heera-college-of-engineering-thiruvananthapuram,0,http://www.hcet.in/,,INR 60k-1.2L ($720-1440),0,"The college's thriving campus features fully equipped engineering labs, a comprehensive technical library, open sports grounds for active recreation, a welcoming canteen, and campus-wide Wi-Fi — creating a vibrant, well-rounded environment where engineering ambitions are turned into successful careers.",500,18,0,1,,,,http://www.hcet.in/,0,1
,"Mohandas College of Engineering Thiruvananthapuram, India",356,"Mohandas College of Engineering is a reputed self-financing engineering institution affiliated to APJ Abdul Kalam Technological University, dedicated to shaping technically superior and professionally versatile engineers. Located in Thiruvananthapuram, it offers B.Tech and M.Tech programmes that combine strong theoretical foundations with real-world application.",mohandas-college-of-engineering-thiruvananthapuram,0,https://www.mcetonline.com,,INR 60k-1.2L ($720-1440),0,"The college's well-resourced campus offers modern engineering labs, a well-stocked technical library, lively sports grounds, comfortable hostel accommodation, and a buzzing canteen — cultivating not just skilled engineers, but confident professionals equipped to thrive in any industry.",700,18,0,1,,,,https://www.mcetonline.com,0,1
,"Muslim Association College of Engineering Thiruvananthapuram, India",356,"Muslim Association College of Engineering is a progressive self-financing engineering institution affiliated to APJ Abdul Kalam Technological University, managed with community pride and academic commitment. Located in Thiruvananthapuram, its B.Tech programmes deliver a strong engineering education infused with inclusivity, innovation, and opportunity.",muslim-association-college-of-engineering-thiruvananthapuram,0,http://www.mace.edu.in,,INR 60k-1.2L ($720-1440),0,"The college's energetic campus features advanced engineering labs, a comprehensive library, wide sports grounds, campus-wide Wi-Fi connectivity, and a vibrant canteen — fostering a community-driven atmosphere where students not only master their craft but build lasting friendships and professional networks.",500,18,0,1,,,,http://www.mace.edu.in,0,1
,"Rajadhani Institute of Engineering Thiruvananthapuram, India",356,"Rajadhani Institute of Engineering is a well-regarded self-financing engineering college affiliated to APJ Abdul Kalam Technological University, offering B.Tech programmes with a strong emphasis on practical learning and industry alignment. Situated in Attingal, Thiruvananthapuram, it has steadily built a reputation for producing competent, career-ready engineers.",rajadhani-institute-of-engineering-thiruvananthapuram,0,https://riet.edu.in,,INR 60k-1.2L ($720-1440),0,"The institute's active campus is equipped with modern engineering labs, an extensive technical library, sprawling sports grounds for recreation and competition, and a lively canteen — creating a well-balanced student life where academic rigour and personal development go hand in hand.",500,18,0,0,,,,https://riet.edu.in,0,1
,"Sarabhai Institute of Science and Technology Thiruvananthapuram, India",356,"Sarabhai Institute of Science and Technology is a distinguished self-financing engineering and science institution affiliated to APJ Abdul Kalam Technological University, named in honour of India's space visionary Dr. Vikram Sarabhai. Located in Thiruvananthapuram, it offers B.Tech and B.Sc. programmes that inspire students to dream big and achieve even bigger.",sarabhai-institute-of-science-technology-thiruvananthapuram,0,https://www.sist.ac.in,,INR 60k-1.2L ($720-1440),0,"The institute's inspiring campus is home to cutting-edge labs, a comprehensive library, open sports grounds, comfortable hostel accommodation, and a lively canteen — providing students with an enriching academic environment that honours the spirit of scientific discovery its founders intended.",600,18,0,1,,,,https://www.sist.ac.in,0,1
,"John Cox Memorial CSI Institute of Technology, India",356,"John Cox Memorial CSI Institute of Technology is a proud CSI-managed engineering institution affiliated to APJ Abdul Kalam Technological University, upholding a legacy of faith, service, and academic excellence. Located in Thiruvananthapuram, its B.Tech programmes equip graduates with both technical mastery and a strong ethical foundation.",john-cox-memorial-csi-institute-of-technology-thiruvananthapuram,0,http://jcmcsiit.ac.in,,INR 60k-1.2L ($720-1440),0,"The institute's well-designed campus features state-of-the-art engineering labs, a well-stocked library, open sports grounds, and a friendly canteen — nurturing an inclusive community of engineers who are as committed to professional excellence as they are to making a positive difference in the world.",500,18,0,0,,,,http://jcmcsiit.ac.in,0,1
,"Ace College of Engineering Thiruvananthapuram, India",356,"Ace College of Engineering is a thriving self-financing engineering institution affiliated to APJ Abdul Kalam Technological University, dedicated to delivering world-class technical education in the heart of Thiruvananthapuram. Its B.Tech programmes are crafted to produce innovative engineers who are ready to ace every challenge industry throws their way.",ace-college-of-engineering-thiruvananthapuram,0,https://www.acetvm.com,,INR 60k-1.2L ($720-1440),0,"Ace College's dynamic campus boasts advanced engineering and computing labs, a rich technical library, energising sports facilities, campus-wide high-speed Wi-Fi, and a lively canteen — building a spirited academic culture where talent is sharpened and ambitions are transformed into achievement.",500,18,0,0,,,,https://www.acetvm.com,0,1
,"UKF College of Engineering Thiruvananthapuram, India",356,"UKF College of Engineering is a reputed self-financing engineering institution affiliated to APJ Abdul Kalam Technological University, offering B.Tech and M.Tech programmes that combine cutting-edge curriculum with strong industry partnerships. Located in Thiruvananthapuram, it prepares graduates to lead in engineering and technology across global sectors.",ukf-college-of-engineering-thiruvananthapuram,0,https://ukfiet.ac.in,,INR 60k-1.2L ($720-1440),0,"UKF's well-equipped campus features modern laboratories, a comprehensive technical library, vibrant sports grounds, comfortable hostel facilities, and a welcoming canteen — creating a holistic academic experience where technical excellence and student well-being receive equal priority.",600,18,0,1,,,,https://ukfiet.ac.in,0,1
,"P.A. Aziz College of Engineering Thiruvananthapuram, India",356,"P.A. Aziz College of Engineering is a dedicated self-financing engineering institution affiliated to APJ Abdul Kalam Technological University, committed to accessible, quality technical education. Located in Thiruvananthapuram, its B.Tech programmes provide students a strong academic grounding and practical readiness for a rapidly evolving engineering world.",pa-aziz-college-of-engineering-thiruvananthapuram,0,http://paacel.org/,,INR 60k-1.2L ($720-1440),0,"The college's campus provides students with well-maintained engineering labs, a resourceful technical library, and open sports grounds — building a focused, friendly academic community where every aspiring engineer finds the support and skills they need to succeed.",400,18,0,0,,,,http://paacel.org/,0,1
,"Dr. Somervell CSI Medical College Karakonam, India",356,"Dr. Somervell CSI Medical College is a prestigious Church of South India medical institution affiliated to the Kerala University of Health Sciences, carrying a legacy of healing and service. Located in the picturesque village of Karakonam, Thiruvananthapuram, it offers MBBS and postgraduate MD/MS programmes that produce doctors of extraordinary clinical skill and compassionate character.",dr-somervell-csi-medical-college-karakonam,0,http://www.drsmcsimchk.org,,INR 5L-10L ($6000-12000),0,"The college's hospital campus is a complete ecosystem of medical learning — featuring advanced research labs, a comprehensive medical library, well-equipped teaching facilities, dedicated hostel accommodation, and immersive clinical rotations across specialised departments — preparing every graduate to heal with both expertise and humanity.",600,8,0,1,,,,http://www.drsmcsimchk.org,0,1
,"Sree Gokulam Medical College Thiruvananthapuram, India",356,"Sree Gokulam Medical College is a leading private medical institution affiliated to the Kerala University of Health Sciences, renowned for its high-quality MBBS and postgraduate medical programmes. Located in the lush surroundings of Venjaramoodu, Thiruvananthapuram, it is backed by the esteemed Sree Gokulam Group's commitment to world-class healthcare and education.",sree-gokulam-medical-college-thiruvananthapuram,0,https://sgmc.in,,INR 8L-15L ($9600-18000),0,"The college's sprawling hospital campus is equipped with state-of-the-art labs, a vast medical library, comfortable hostel facilities, open sports grounds, and comprehensive clinical training across multiple specialties — offering medical students an unparalleled environment where brilliance in science meets a lifelong commitment to patient care.",700,8,0,1,,,,https://sgmc.in,0,1
